client_id,age,account_age_months,employment_type,segment
CLI_00637,26,22,Unemployed,Mass-Affluent
CLI_00638,67,118,Gig-worker,Mass-Affluent
CLI_00639,44,33,Salaried,Private
CLI_00640,19,30,Self-employed,Mass
CLI_00641,22,81,Unemployed,Mass
CLI_00642,46,107,Gig-worker,Mass
CLI_00643,54,32,Salaried,Mass
CLI_00644,55,42,Self-employed,Premium
CLI_00645,36,115,Self-employed,Private
CLI_00646,25,78,Unemployed,Mass
CLI_00647,65,10,Self-employed,Mass
CLI_00648,62,111,Salaried,Mass
CLI_00649,18,115,Unemployed,Mass-Affluent
CLI_00650,39,36,Salaried,Mass
CLI_00651,69,34,Salaried,Mass
CLI_00652,34,73,Gig-worker,Mass
CLI_00653,24,106,Gig-worker,Mass
CLI_00654,42,28,Salaried,Premium
CLI_00655,62,11,Self-employed,Mass
CLI_00656,21,78,Salaried,Mass
CLI_00657,53,39,Gig-worker,Mass
CLI_00658,23,119,Self-employed,Mass
CLI_00659,48,47,Salaried,Mass-Affluent
CLI_00660,36,118,Salaried,Mass
CLI_00661,61,19,Salaried,Mass
CLI_00662,71,118,Business Owner,Mass-Affluent
CLI_00663,56,15,Salaried,Mass
CLI_00664,44,28,Salaried,Mass-Affluent
CLI_00665,27,24,Gig-worker,Mass
CLI_00666,43,72,Gig-worker,Mass
CLI_00667,36,107,Salaried,Mass-Affluent
CLI_00668,56,9,Gig-worker,Mass-Affluent
CLI_00669,20,47,Salaried,Mass
CLI_00670,62,33,Business Owner,Mass
CLI_00671,30,62,Salaried,Mass
CLI_00672,67,97,Salaried,Mass
CLI_00673,45,19,Gig-worker,Mass
CLI_00674,37,67,Salaried,Mass-Affluent
CLI_00675,45,74,Self-employed,Mass
CLI_00676,25,40,Salaried,Mass
CLI_00677,58,47,Salaried,Mass
CLI_00678,56,106,Self-employed,Mass
CLI_00679,18,65,Gig-worker,Mass-Affluent
CLI_00680,20,29,Gig-worker,Mass
CLI_00681,30,50,Salaried,Mass
CLI_00682,45,98,Salaried,Private
CLI_00683,74,115,Salaried,Mass
CLI_00684,66,13,Salaried,Mass
CLI_00685,42,118,Gig-worker,Mass
CLI_00686,73,1,Unemployed,Private
CLI_00687,50,34,Salaried,Private
CLI_00688,55,93,Salaried,Mass
CLI_00689,70,48,Salaried,Mass
CLI_00690,23,111,Salaried,Premium
CLI_00691,61,77,Salaried,Mass
CLI_00692,62,48,Unemployed,Mass
CLI_00693,49,49,Self-employed,Mass-Affluent
CLI_00694,62,117,Business Owner,Mass
CLI_00695,64,64,Unemployed,Mass
CLI_00696,38,61,Gig-worker,Mass-Affluent
CLI_00697,33,29,Gig-worker,Mass
CLI_00698,71,39,Salaried,Mass
CLI_00699,38,88,Gig-worker,Mass
CLI_00700,28,26,Unemployed,Mass
CLI_00701,54,17,Salaried,Mass
CLI_00702,53,71,Unemployed,Mass
CLI_00703,52,13,Salaried,Mass-Affluent
CLI_00704,36,69,Unemployed,Premium
CLI_00705,37,26,Unemployed,Mass
CLI_00706,74,49,Self-employed,Mass-Affluent
CLI_00707,35,67,Self-employed,Mass-Affluent
CLI_00708,64,7,Gig-worker,Mass-Affluent
CLI_00709,58,58,Self-employed,Mass
CLI_00710,66,49,Business Owner,Premium
CLI_00711,31,103,Self-employed,Mass
CLI_00712,32,53,Gig-worker,Mass
CLI_00713,48,65,Gig-worker,Mass
CLI_00714,18,113,Self-employed,Mass-Affluent
CLI_00715,70,62,Gig-worker,Mass
CLI_00716,71,17,Self-employed,Mass
CLI_00717,71,43,Gig-worker,Mass-Affluent
CLI_00718,20,25,Salaried,Premium
CLI_00719,33,3,Salaried,Mass-Affluent
CLI_00720,40,79,Gig-worker,Mass
CLI_00721,74,29,Salaried,Mass
CLI_00722,28,117,Salaried,Mass-Affluent
CLI_00723,29,107,Gig-worker,Mass
CLI_00724,27,32,Salaried,Mass-Affluent
CLI_00725,49,26,Salaried,Mass
CLI_00726,33,16,Self-employed,Premium
CLI_00727,25,25,Business Owner,Mass
CLI_00728,55,54,Self-employed,Mass
CLI_00729,29,28,Business Owner,Premium
CLI_00730,41,73,Self-employed,Mass
CLI_00731,45,56,Salaried,Mass
CLI_00732,70,65,Self-employed,Mass-Affluent
CLI_00733,25,93,Self-employed,Mass
CLI_00734,45,86,Salaried,Mass
CLI_00735,53,80,Salaried,Mass
CLI_00736,43,41,Self-employed,Mass
CLI_00737,25,115,Salaried,Mass
CLI_00738,67,108,Gig-worker,Mass-Affluent
CLI_00739,45,51,Salaried,Mass-Affluent
CLI_00740,45,118,Gig-worker,Mass
CLI_00741,54,105,Gig-worker,Mass
CLI_00742,58,71,Salaried,Premium
CLI_00743,53,78,Salaried,Private
CLI_00744,44,29,Gig-worker,Mass
CLI_00745,71,83,Self-employed,Mass-Affluent
CLI_00746,34,19,Unemployed,Mass-Affluent
CLI_00747,26,66,Gig-worker,Mass
CLI_00748,50,41,Self-employed,Mass
CLI_00749,70,45,Salaried,Mass
CLI_00750,37,15,Salaried,Mass-Affluent
CLI_00751,30,3,Salaried,Mass-Affluent
CLI_00752,45,11,Gig-worker,Mass-Affluent
CLI_00753,65,53,Salaried,Mass
CLI_00754,46,46,Salaried,Mass-Affluent
CLI_00755,30,30,Self-employed,Mass-Affluent
CLI_00756,63,57,Self-employed,Premium
CLI_00757,52,104,Salaried,Mass
CLI_00758,23,18,Salaried,Mass-Affluent
CLI_00759,35,51,Gig-worker,Mass
CLI_00760,68,48,Gig-worker,Mass-Affluent
CLI_00761,22,66,Self-employed,Mass-Affluent
CLI_00762,64,96,Salaried,Mass
CLI_00763,42,8,Self-employed,Mass-Affluent
CLI_00764,19,22,Unemployed,Mass
CLI_00765,27,6,Salaried,Mass-Affluent
CLI_00766,73,76,Business Owner,Mass
CLI_00767,47,111,Salaried,Mass-Affluent
CLI_00768,67,57,Salaried,Premium
CLI_00769,62,104,Gig-worker,Mass
CLI_00770,22,36,Salaried,Mass
CLI_00771,72,79,Salaried,Mass
CLI_00772,73,92,Gig-worker,Mass
CLI_00773,50,116,Self-employed,Mass
CLI_00774,71,57,Unemployed,Mass-Affluent
CLI_00775,18,49,Self-employed,Premium
CLI_00776,35,45,Salaried,Premium
CLI_00777,49,82,Self-employed,Mass
CLI_00778,64,66,Gig-worker,Mass-Affluent
CLI_00779,66,77,Self-employed,Mass-Affluent
CLI_00780,28,45,Self-employed,Mass
CLI_00781,38,118,Unemployed,Mass
CLI_00782,43,79,Gig-worker,Mass
CLI_00783,42,20,Self-employed,Mass-Affluent
CLI_00784,39,64,Salaried,Mass
CLI_00785,44,93,Business Owner,Mass-Affluent
CLI_00786,66,106,Salaried,Mass
CLI_00787,30,93,Salaried,Private
CLI_00788,50,67,Salaried,Mass
CLI_00789,51,83,Self-employed,Mass-Affluent
CLI_00790,58,3,Gig-worker,Mass
CLI_00791,52,54,Gig-worker,Mass
CLI_00792,18,78,Business Owner,Mass-Affluent
CLI_00793,38,64,Unemployed,Private
CLI_00794,65,40,Salaried,Mass
CLI_00795,72,59,Salaried,Mass
CLI_00796,23,55,Self-employed,Mass
CLI_00797,45,62,Unemployed,Mass
CLI_00798,34,4,Gig-worker,Mass
CLI_00799,22,60,Gig-worker,Mass-Affluent
CLI_00800,48,116,Salaried,Premium
CLI_00801,22,75,Self-employed,Mass
CLI_00802,55,95,Gig-worker,Mass
CLI_00803,20,107,Gig-worker,Mass
CLI_00804,70,96,Salaried,Mass
CLI_00805,40,91,Unemployed,Mass
CLI_00806,54,30,Gig-worker,Mass
CLI_00807,70,107,Salaried,Mass
CLI_00808,54,2,Gig-worker,Mass
CLI_00809,27,62,Self-employed,Mass
CLI_00810,27,49,Gig-worker,Mass
CLI_00811,36,9,Self-employed,Mass
CLI_00812,34,92,Gig-worker,Premium
CLI_00813,38,31,Unemployed,Mass-Affluent
CLI_00814,31,98,Salaried,Premium
CLI_00815,26,61,Salaried,Mass
CLI_00816,63,79,Salaried,Mass
CLI_00817,18,48,Self-employed,Mass
CLI_00818,68,25,Gig-worker,Mass
CLI_00819,62,36,Unemployed,Mass-Affluent
CLI_00820,30,8,Self-employed,Mass
CLI_00821,21,73,Gig-worker,Mass
CLI_00822,18,58,Business Owner,Mass
CLI_00823,66,101,Salaried,Mass
CLI_00824,57,112,Self-employed,Private
CLI_00825,49,45,Gig-worker,Mass
CLI_00826,51,62,Gig-worker,Mass-Affluent
CLI_00827,45,39,Self-employed,Mass
CLI_00828,48,96,Gig-worker,Private
CLI_00829,25,58,Salaried,Mass
CLI_00830,56,116,Gig-worker,Mass-Affluent
CLI_00831,43,81,Gig-worker,Mass
CLI_00832,51,99,Self-employed,Mass-Affluent
CLI_00833,71,101,Gig-worker,Mass
CLI_00834,71,83,Unemployed,Mass
CLI_00835,20,64,Gig-worker,Premium
CLI_00836,67,44,Gig-worker,Private
CLI_00837,29,29,Self-employed,Mass
CLI_00838,18,59,Gig-worker,Mass-Affluent
CLI_00839,71,71,Business Owner,Mass
CLI_00840,61,92,Self-employed,Mass-Affluent
CLI_00841,22,9,Gig-worker,Mass-Affluent
CLI_00842,47,92,Salaried,Mass
CLI_00843,47,6,Gig-worker,Premium
CLI_00844,74,29,Salaried,Mass-Affluent
CLI_00845,34,58,Self-employed,Mass
CLI_00846,65,17,Salaried,Mass-Affluent
CLI_00847,64,16,Salaried,Mass
CLI_00848,40,87,Salaried,Mass-Affluent
CLI_00849,32,95,Salaried,Mass-Affluent
CLI_00850,54,3,Salaried,Mass
CLI_00851,38,21,Unemployed,Mass-Affluent
CLI_00852,31,64,Self-employed,Mass
CLI_00853,19,90,Self-employed,Mass
CLI_00854,28,36,Self-employed,Mass
CLI_00855,68,106,Salaried,Mass
CLI_00856,56,101,Unemployed,Mass-Affluent
CLI_00857,55,117,Salaried,Mass
CLI_00858,51,86,Salaried,Mass
CLI_00859,55,62,Gig-worker,Mass-Affluent
CLI_00860,67,42,Salaried,Mass
CLI_00861,51,76,Self-employed,Mass
CLI_00862,35,42,Salaried,Mass
CLI_00863,47,61,Self-employed,Mass-Affluent
CLI_00864,32,13,Gig-worker,Mass
CLI_00865,44,11,Salaried,Mass
CLI_00866,68,54,Self-employed,Mass
CLI_00867,51,16,Salaried,Mass-Affluent
CLI_00868,69,8,Gig-worker,Mass
CLI_00869,74,104,Salaried,Private
CLI_00870,55,59,Gig-worker,Mass-Affluent
CLI_00871,50,57,Self-employed,Premium
CLI_00872,41,40,Salaried,Mass
CLI_00873,32,109,Business Owner,Mass
CLI_00874,47,59,Unemployed,Premium
CLI_00875,72,2,Self-employed,Mass
CLI_00876,59,94,Self-employed,Mass
CLI_00877,68,94,Salaried,Mass
CLI_00878,34,76,Self-employed,Private
CLI_00879,22,10,Salaried,Mass-Affluent
CLI_00880,46,44,Salaried,Mass
CLI_00881,21,11,Business Owner,Mass-Affluent
CLI_00882,27,79,Gig-worker,Mass
CLI_00883,73,80,Gig-worker,Mass-Affluent
CLI_00884,34,81,Salaried,Mass
CLI_00885,27,90,Gig-worker,Mass-Affluent
CLI_00886,34,2,Salaried,Mass
CLI_00887,37,50,Salaried,Mass
CLI_00888,41,12,Salaried,Mass
CLI_00889,22,115,Gig-worker,Mass
CLI_00890,51,90,Gig-worker,Mass-Affluent
CLI_00891,23,23,Salaried,Mass
CLI_00892,70,18,Self-employed,Mass
CLI_00893,19,62,Salaried,Mass
CLI_00894,30,96,Self-employed,Mass
CLI_00895,60,113,Business Owner,Mass
CLI_00896,60,62,Self-employed,Mass
CLI_00897,65,38,Unemployed,Mass
CLI_00898,28,111,Unemployed,Mass
CLI_00899,68,67,Gig-worker,Mass
CLI_00900,64,38,Self-employed,Premium
CLI_00901,74,67,Unemployed,Mass-Affluent
CLI_00902,40,94,Salaried,Mass
CLI_00903,72,61,Salaried,Mass-Affluent
CLI_00904,33,1,Unemployed,Mass-Affluent
CLI_00905,48,94,Self-employed,Mass
CLI_00906,28,45,Salaried,Mass-Affluent
CLI_00907,71,96,Gig-worker,Mass
CLI_00908,33,28,Self-employed,Mass-Affluent
CLI_00909,25,21,Gig-worker,Mass
CLI_00910,21,110,Gig-worker,Mass
CLI_00911,57,13,Self-employed,Mass
CLI_00912,21,27,Gig-worker,Private
CLI_00913,73,100,Gig-worker,Mass-Affluent
CLI_00914,42,7,Self-employed,Mass
CLI_00915,20,22,Self-employed,Mass
CLI_00916,49,74,Gig-worker,Mass
CLI_00917,20,103,Salaried,Mass
CLI_00918,44,53,Gig-worker,Mass
CLI_00919,46,79,Business Owner,Mass
CLI_00920,49,79,Salaried,Premium
CLI_00921,67,4,Salaried,Mass-Affluent
CLI_00922,68,96,Gig-worker,Mass
CLI_00923,36,23,Self-employed,Mass
CLI_00924,38,119,Salaried,Premium
CLI_00925,22,70,Salaried,Mass-Affluent
CLI_00926,35,88,Salaried,Mass-Affluent
CLI_00927,45,84,Self-employed,Private
CLI_00928,59,101,Salaried,Mass-Affluent
CLI_00929,39,84,Salaried,Mass
CLI_00930,38,76,Gig-worker,Mass
CLI_00931,23,33,Unemployed,Private
CLI_00932,18,28,Gig-worker,Mass
CLI_00933,22,8,Salaried,Mass
CLI_00934,58,1,Gig-worker,Mass
CLI_00935,29,37,Business Owner,Mass-Affluent
CLI_00936,43,63,Gig-worker,Private
CLI_00937,63,22,Business Owner,Mass
CLI_00938,51,70,Self-employed,Mass
CLI_00939,66,21,Salaried,Premium
CLI_00940,31,96,Self-employed,Mass
CLI_00941,43,35,Salaried,Mass
CLI_00942,62,79,Gig-worker,Premium
CLI_00943,44,5,Salaried,Mass
CLI_00944,26,60,Salaried,Mass
CLI_00945,43,46,Unemployed,Mass-Affluent
CLI_00946,74,50,Salaried,Mass
CLI_00947,64,48,Unemployed,Premium
CLI_00948,74,6,Salaried,Mass
CLI_00949,39,89,Salaried,Mass
CLI_00950,64,56,Unemployed,Mass
CLI_00951,73,110,Gig-worker,Mass
CLI_00952,47,59,Self-employed,Mass-Affluent
CLI_00953,60,104,Salaried,Mass-Affluent
CLI_00954,65,29,Gig-worker,Premium
CLI_00955,34,71,Self-employed,Mass
CLI_00956,43,104,Gig-worker,Mass-Affluent
CLI_00957,53,77,Gig-worker,Mass
CLI_00958,18,102,Business Owner,Mass-Affluent
CLI_00959,25,18,Self-employed,Mass-Affluent
CLI_00960,66,2,Unemployed,Mass
CLI_00961,52,8,Self-employed,Mass
CLI_00962,69,75,Self-employed,Mass
CLI_00963,32,97,Salaried,Mass
CLI_00964,64,54,Salaried,Private
CLI_00965,73,38,Unemployed,Mass
CLI_00966,39,48,Salaried,Mass
CLI_00967,31,27,Salaried,Mass
CLI_00968,43,20,Salaried,Mass-Affluent
CLI_00969,45,12,Salaried,Mass
CLI_00970,40,43,Unemployed,Mass
CLI_00971,31,61,Unemployed,Mass
CLI_00972,41,31,Gig-worker,Mass-Affluent
CLI_00973,19,91,Salaried,Mass
CLI_00974,62,96,Self-employed,Mass-Affluent
CLI_00975,43,61,Gig-worker,Mass
CLI_00976,31,74,Business Owner,Mass
CLI_00977,73,67,Gig-worker,Mass
CLI_00978,68,109,Salaried,Mass
CLI_00979,24,91,Gig-worker,Mass
CLI_00980,20,35,Business Owner,Mass
CLI_00981,64,95,Self-employed,Mass-Affluent
CLI_00982,40,15,Self-employed,Mass
CLI_00983,63,16,Salaried,Mass
CLI_00984,60,13,Self-employed,Premium
CLI_00985,64,113,Self-employed,Mass
CLI_00986,62,35,Salaried,Mass-Affluent
CLI_00987,35,116,Gig-worker,Mass-Affluent
CLI_00988,55,75,Salaried,Mass
CLI_00989,52,59,Salaried,Mass-Affluent
CLI_00990,68,21,Salaried,Mass
CLI_00991,32,115,Salaried,Mass
CLI_00992,42,54,Gig-worker,Mass
CLI_00993,72,75,Salaried,Mass
CLI_00994,54,30,Salaried,Mass
CLI_00995,45,48,Unemployed,Mass
CLI_00996,27,117,Gig-worker,Mass
CLI_00997,56,35,Gig-worker,Mass
CLI_00998,74,86,Gig-worker,Mass
CLI_00999,34,38,Self-employed,Mass
CLI_01000,56,31,Salaried,Mass
CLI_01001,39,78,Self-employed,Mass
CLI_01002,43,24,Salaried,Mass
CLI_01003,61,114,Self-employed,Mass
CLI_01004,42,49,Salaried,Premium
CLI_01005,34,96,Self-employed,Mass-Affluent
CLI_01006,30,100,Gig-worker,Mass
CLI_01007,37,32,Gig-worker,Mass-Affluent
CLI_01008,42,55,Salaried,Mass
CLI_01009,21,79,Gig-worker,Mass
CLI_01010,27,107,Business Owner,Premium
CLI_01011,20,58,Self-employed,Mass
CLI_01012,58,99,Salaried,Premium
CLI_01013,62,3,Salaried,Mass
CLI_01014,35,80,Unemployed,Mass
CLI_01015,64,69,Gig-worker,Mass
CLI_01016,53,85,Self-employed,Mass
CLI_01017,64,10,Unemployed,Mass
CLI_01018,39,83,Unemployed,Mass
CLI_01019,51,25,Gig-worker,Mass-Affluent
CLI_01020,64,68,Gig-worker,Mass
CLI_01021,25,61,Salaried,Mass
CLI_01022,57,29,Self-employed,Mass
CLI_01023,66,19,Salaried,Premium
CLI_01024,61,43,Salaried,Mass
CLI_01025,36,66,Salaried,Mass
CLI_01026,59,74,Salaried,Private
CLI_01027,58,61,Self-employed,Mass
CLI_01028,54,43,Gig-worker,Mass
CLI_01029,23,25,Gig-worker,Mass-Affluent
CLI_01030,69,20,Salaried,Mass-Affluent
CLI_01031,43,48,Unemployed,Mass
CLI_01032,51,83,Salaried,Mass
CLI_01033,73,87,Self-employed,Mass-Affluent
CLI_01034,62,24,Unemployed,Mass
CLI_01035,23,11,Gig-worker,Premium
CLI_01036,54,110,Gig-worker,Mass
CLI_01037,74,98,Unemployed,Mass
CLI_01038,50,55,Salaried,Mass
CLI_01039,70,28,Gig-worker,Mass-Affluent
CLI_01040,39,69,Gig-worker,Premium
CLI_01041,38,63,Salaried,Mass-Affluent
CLI_01042,23,59,Self-employed,Premium
CLI_01043,23,5,Unemployed,Mass
CLI_01044,72,51,Self-employed,Mass
CLI_01045,65,21,Salaried,Mass-Affluent
CLI_01046,21,12,Salaried,Premium
CLI_01047,47,50,Gig-worker,Mass-Affluent
CLI_01048,28,4,Salaried,Mass-Affluent
CLI_01049,47,118,Self-employed,Mass
CLI_01050,48,113,Gig-worker,Mass
CLI_01051,41,42,Self-employed,Premium
CLI_01052,72,84,Gig-worker,Mass
CLI_01053,26,38,Gig-worker,Mass
CLI_01054,72,25,Salaried,Mass-Affluent
CLI_01055,20,14,Salaried,Mass
CLI_01056,68,75,Gig-worker,Mass-Affluent
CLI_01057,48,32,Self-employed,Mass
CLI_01058,57,11,Self-employed,Mass-Affluent
CLI_01059,54,61,Self-employed,Mass-Affluent
CLI_01060,53,18,Business Owner,Mass
CLI_01061,41,27,Salaried,Mass
CLI_01062,48,55,Salaried,Mass
CLI_01063,23,54,Salaried,Mass
CLI_01064,19,82,Self-employed,Mass
CLI_01065,37,87,Gig-worker,Mass
CLI_01066,45,75,Self-employed,Mass
CLI_01067,28,21,Gig-worker,Mass
CLI_01068,21,44,Unemployed,Mass
CLI_01069,32,5,Unemployed,Mass-Affluent
CLI_01070,23,87,Salaried,Mass
CLI_01071,71,41,Gig-worker,Premium
CLI_01072,66,59,Gig-worker,Mass-Affluent
CLI_01073,47,89,Salaried,Mass-Affluent
CLI_01074,73,105,Gig-worker,Mass-Affluent
CLI_01075,55,54,Self-employed,Mass
CLI_01076,68,74,Salaried,Mass-Affluent
CLI_01077,74,22,Gig-worker,Mass
CLI_01078,19,83,Self-employed,Premium
CLI_01079,32,65,Salaried,Premium
CLI_01080,28,64,Gig-worker,Mass
CLI_01081,25,71,Salaried,Mass
CLI_01082,43,4,Self-employed,Mass
CLI_01083,68,65,Salaried,Mass-Affluent
CLI_01084,62,15,Unemployed,Mass
CLI_01085,61,104,Gig-worker,Mass
CLI_01086,22,76,Salaried,Mass
CLI_01087,23,22,Gig-worker,Mass
CLI_01088,43,86,Gig-worker,Private
CLI_01089,71,114,Gig-worker,Mass-Affluent
CLI_01090,21,47,Gig-worker,Mass
CLI_01091,36,81,Gig-worker,Mass
CLI_01092,37,93,Salaried,Mass
CLI_01093,50,46,Salaried,Mass
CLI_01094,37,14,Self-employed,Mass-Affluent
CLI_01095,66,50,Gig-worker,Mass
CLI_01096,29,20,Salaried,Mass
CLI_01097,64,50,Self-employed,Premium
CLI_01098,18,112,Salaried,Premium
CLI_01099,43,33,Self-employed,Mass
CLI_01100,31,119,Salaried,Mass
CLI_01101,55,59,Salaried,Mass
CLI_01102,54,43,Unemployed,Mass-Affluent
CLI_01103,28,79,Salaried,Private
CLI_01104,53,12,Self-employed,Mass
CLI_01105,30,40,Salaried,Mass
CLI_01106,60,118,Gig-worker,Premium
CLI_01107,20,20,Unemployed,Mass-Affluent
CLI_01108,50,94,Salaried,Private
CLI_01109,23,38,Self-employed,Mass
CLI_01110,67,3,Gig-worker,Mass
CLI_01111,73,28,Gig-worker,Mass
CLI_01112,27,56,Gig-worker,Mass
CLI_01113,22,90,Unemployed,Mass
CLI_01114,40,94,Salaried,Mass
CLI_01115,27,13,Salaried,Mass
CLI_01116,61,77,Unemployed,Premium
CLI_01117,19,66,Self-employed,Mass
CLI_01118,30,37,Salaried,Mass-Affluent
CLI_01119,57,49,Gig-worker,Mass
CLI_01120,19,102,Gig-worker,Mass-Affluent
CLI_01121,37,66,Gig-worker,Mass
CLI_01122,18,36,Salaried,Mass-Affluent
CLI_01123,54,54,Self-employed,Mass
CLI_01124,26,26,Salaried,Mass
CLI_01125,34,75,Self-employed,Mass-Affluent
CLI_01126,26,72,Self-employed,Mass
CLI_01127,28,108,Gig-worker,Mass
CLI_01128,32,40,Salaried,Premium
CLI_01129,41,43,Salaried,Premium
CLI_01130,55,22,Gig-worker,Mass
CLI_01131,72,20,Self-employed,Mass
CLI_01132,52,8,Salaried,Mass
CLI_01133,47,29,Gig-worker,Mass
CLI_01134,48,40,Salaried,Private
CLI_01135,66,90,Salaried,Mass
CLI_01136,22,30,Salaried,Mass
CLI_01137,61,81,Salaried,Private
CLI_01138,67,84,Salaried,Mass
CLI_01139,31,116,Gig-worker,Mass-Affluent
CLI_01140,70,55,Unemployed,Mass
CLI_01141,73,16,Self-employed,Mass
CLI_01142,28,46,Salaried,Mass
CLI_01143,26,62,Salaried,Mass
CLI_01144,51,107,Salaried,Mass
CLI_01145,29,7,Salaried,Mass
CLI_01146,52,80,Gig-worker,Mass
CLI_01147,52,45,Gig-worker,Mass
CLI_01148,18,59,Salaried,Mass
CLI_01149,57,111,Salaried,Mass
CLI_01150,39,56,Salaried,Mass
CLI_01151,46,48,Salaried,Mass-Affluent
CLI_01152,25,27,Self-employed,Mass
CLI_01153,28,53,Salaried,Mass
CLI_01154,58,87,Gig-worker,Mass-Affluent
CLI_01155,54,88,Gig-worker,Mass
CLI_01156,31,73,Unemployed,Mass-Affluent
CLI_01157,47,35,Unemployed,Mass-Affluent
CLI_01158,52,51,Self-employed,Mass
CLI_01159,38,84,Salaried,Mass
CLI_01160,54,37,Gig-worker,Private
CLI_01161,22,106,Self-employed,Mass
CLI_01162,36,81,Salaried,Mass-Affluent
CLI_01163,31,111,Gig-worker,Mass
CLI_01164,43,95,Unemployed,Mass
CLI_01165,21,119,Gig-worker,Mass
CLI_01166,42,57,Salaried,Mass
CLI_01167,62,8,Salaried,Mass
CLI_01168,59,79,Gig-worker,Mass-Affluent
CLI_01169,42,95,Salaried,Premium
CLI_01170,35,117,Self-employed,Mass-Affluent
CLI_01171,57,94,Self-employed,Mass
CLI_01172,25,110,Salaried,Premium
CLI_01173,56,20,Unemployed,Mass-Affluent
CLI_01174,57,103,Gig-worker,Premium
CLI_01175,31,53,Salaried,Mass
CLI_01176,49,119,Self-employed,Mass-Affluent
CLI_01177,68,12,Self-employed,Mass
CLI_01178,55,49,Gig-worker,Mass
CLI_01179,50,17,Unemployed,Private
CLI_01180,40,64,Self-employed,Mass
CLI_01181,32,42,Unemployed,Mass
CLI_01182,50,94,Gig-worker,Premium
CLI_01183,42,29,Self-employed,Mass
CLI_01184,34,19,Business Owner,Premium
CLI_01185,50,110,Self-employed,Mass-Affluent
CLI_01186,64,11,Salaried,Mass
CLI_01187,72,98,Gig-worker,Mass
CLI_01188,19,50,Gig-worker,Mass-Affluent
CLI_01189,31,71,Salaried,Mass
CLI_01190,70,108,Business Owner,Premium
CLI_01191,57,58,Salaried,Premium
CLI_01192,57,34,Salaried,Mass
CLI_01193,68,20,Unemployed,Mass
CLI_01194,56,50,Gig-worker,Premium
CLI_01195,68,102,Salaried,Mass
CLI_01196,23,88,Gig-worker,Mass
CLI_01197,23,10,Gig-worker,Mass-Affluent
CLI_01198,20,32,Salaried,Premium
CLI_01199,24,52,Business Owner,Mass-Affluent
CLI_01200,68,15,Gig-worker,Mass
CLI_01201,25,101,Gig-worker,Mass-Affluent
CLI_01202,59,84,Gig-worker,Mass-Affluent
CLI_01203,69,3,Gig-worker,Premium
CLI_01204,32,37,Salaried,Private
CLI_01205,64,40,Salaried,Mass
CLI_01206,46,72,Gig-worker,Mass-Affluent
CLI_01207,50,40,Self-employed,Private
CLI_01208,69,108,Salaried,Mass
CLI_01209,47,56,Gig-worker,Mass
CLI_01210,56,23,Self-employed,Premium
CLI_01211,44,104,Salaried,Mass
CLI_01212,53,11,Salaried,Mass
CLI_01213,46,110,Salaried,Mass
CLI_01214,55,64,Gig-worker,Mass
CLI_01215,74,8,Salaried,Mass
CLI_01216,50,93,Gig-worker,Mass
CLI_01217,54,94,Gig-worker,Private
CLI_01218,44,56,Gig-worker,Mass-Affluent
CLI_01219,72,60,Salaried,Mass-Affluent
CLI_01220,50,10,Gig-worker,Mass
CLI_01221,21,39,Self-employed,Mass-Affluent
CLI_01222,39,28,Unemployed,Mass-Affluent
CLI_01223,19,49,Unemployed,Mass-Affluent
CLI_01224,27,36,Gig-worker,Mass
CLI_01225,22,13,Gig-worker,Mass
CLI_01226,27,96,Salaried,Mass-Affluent
CLI_01227,50,36,Salaried,Mass-Affluent
CLI_01228,71,101,Salaried,Mass-Affluent
CLI_01229,55,26,Self-employed,Mass
CLI_01230,30,86,Salaried,Mass
CLI_01231,48,4,Salaried,Mass-Affluent
CLI_01232,64,95,Business Owner,Mass
CLI_01233,53,82,Salaried,Mass-Affluent
CLI_01234,62,64,Salaried,Private
CLI_01235,41,38,Salaried,Mass-Affluent
CLI_01236,69,88,Gig-worker,Mass
CLI_01237,73,87,Gig-worker,Mass
CLI_01238,32,22,Salaried,Mass-Affluent
CLI_01239,46,2,Gig-worker,Premium
CLI_01240,25,31,Self-employed,Mass
CLI_01241,22,119,Self-employed,Mass
CLI_01242,46,11,Business Owner,Mass
CLI_01243,64,92,Self-employed,Mass-Affluent
CLI_01244,21,46,Gig-worker,Mass-Affluent
CLI_01245,29,96,Salaried,Private
CLI_01246,62,62,Salaried,Mass
CLI_01247,19,69,Salaried,Mass-Affluent
CLI_01248,44,64,Self-employed,Mass
CLI_01249,48,102,Self-employed,Mass
CLI_01250,68,10,Gig-worker,Mass-Affluent
CLI_01251,68,40,Salaried,Mass
CLI_01252,53,110,Gig-worker,Mass
CLI_01253,53,24,Unemployed,Mass-Affluent
CLI_01254,43,99,Gig-worker,Mass
CLI_01255,60,44,Self-employed,Mass
CLI_01256,44,112,Self-employed,Mass
CLI_01257,22,60,Unemployed,Mass
CLI_01258,37,62,Self-employed,Premium
CLI_01259,28,87,Self-employed,Mass
CLI_01260,27,17,Salaried,Mass-Affluent
CLI_01261,57,65,Salaried,Mass
CLI_01262,55,119,Gig-worker,Mass
CLI_01263,23,95,Salaried,Mass
CLI_01264,25,95,Business Owner,Premium
CLI_01265,40,106,Salaried,Mass
CLI_01266,64,57,Unemployed,Mass-Affluent
CLI_01267,43,55,Salaried,Mass
CLI_01268,63,106,Salaried,Private
